,列标签,,,,,
,平均值项:Copy_time,,,平均值项:Scale_time,,
行标签,5,10,15,5,10,15
pic/dynamic_1.gif,4619,9579,14860,1,6,7
pic/dynamic_2.gif,4870,9779,14936,1,6,5
pic/dynamic_3.gif,5371,8907,15698,1,6,7
pic/dynamic_4.gif,5719,12401,16116,1,6,7
pic/dynamic_5.gif,5054,8747,14731,1,6,7
pic/dynamic_6.gif,5667,10715,14317,1,2,7
pic/static_1.gif,5147,10304,16227,1,6,7
pic/static_2.gif,5420,9801,15220,1,6,7
pic/static_3.gif,5500,10450,15580,1,5,7
pic/static_4.gif,5547,11169,14292,2,6,7
pic/static_5.gif,1148,10940,15369,2,6,7
pic/static_6.gif,5899,11040,14029,1,4,7
总计,4996.75,10319.33333,15114.58333,1.166666667,5.416666667,6.833333333
